Niveau,Incident,Description,T0,T1,T2,MTTD_sec,MTTR_sec,Detected
0,1,"DB Down",12:13:16.611,12:13:20.281,12:16:21.818,3.669,185.206,True
0,2,"CPU Overload",12:16:32.053,12:16:47.163,12:16:52.848,15.11,20.794,True
0,3,"Memory Limit",12:17:03.048,12:23:12.333,12:23:12.330,N/A,N/A,False
0,4,"Mass HTTP 500",12:23:22.364,12:23:23.228,12:23:23.240,0.863,0.876,True
0,5,"High Latency",12:23:33.307,12:23:33.587,12:26:34.405,0.28,181.098,True
0,6,"Disk Full",12:26:44.631,12:26:47.745,12:26:47.846,3.114,3.215,True
1,1,"DB Down",12:40:48.357,12:40:56.773,12:44:01.534,8.416,193.177,True
1,2,"CPU Overload",12:44:12.470,12:44:44.297,12:45:10.119,31.826,57.649,True
